node:910edge:5313
0	1
2	1
2	3
0	2
1	2
1	0
2	0
2	4
2	5
3	2
3	4
3	1
3	5
4	2
4	0
4	1
4	5
0	4
0	5
1	5
4	3
1	3
6	0
5	4
5	1
5	2
1	4
7	8
2	9
5	3
10	11
10	2
12	2
0	13
13	0
0	7
7	0
7	2
2	7
2	14
14	2
15	0
2	16
16	2
17	2
18	2
0	19
2	10
1	17
20	13
5	10
9	2
0	17
5	0
10	5
21	2
2	21
8	2
2	8
0	6
5	11
11	5
22	2
14	23
12	5
2	11
8	7
2	18
2	23
24	2
11	10
5	14
12	23
18	5
5	18
19	2
2	19
25	0
0	25
6	26
8	5
1	24
2	12
4	27
27	1
27	2
4	26
27	4
21	1
19	0
24	1
28	2
2	28
29	1
2	30
5	7
7	5
5	31
31	2
21	5
10	1
23	2
16	3
25	2
32	1
2	17
33	2
11	2
23	3
2	33
10	34
2	35
3	18
10	36
2	34
30	2
34	2
14	3
7	10
3	16
18	3
17	37
3	30
5	30
3	14
3	28
38	5
14	39
38	2
2	24
40	5
18	0
12	3
41	2
42	43
0	10
7	23
13	18
44	3
40	3
5	45
5	12
10	3
10	7
24	3
5	16
14	5
3	8
36	2
12	4
39	5
6	46
35	2
19	4
36	4
45	4
7	20
36	5
47	27
44	5
1	18
48	2
36	3
3	35
21	4
2	25
38	35
18	4
29	3
7	4
45	5
27	5
2	49
10	14
0	50
38	4
8	3
51	3
0	24
42	3
28	5
5	19
16	5
52	2
24	5
16	14
2	36
41	0
37	13
12	16
14	1
5	28
28	3
3	21
30	1
2	31
5	21
53	5
12	10
14	21
52	1
53	3
20	7
10	4
5	24
5	38
54	7
10	12
9	27
14	11
40	2
51	24
42	16
42	1
10	35
55	2
5	8
5	35
3	11
4	12
8	19
7	11
12	11
14	45
3	19
51	5
5	43
42	11
31	8
2	56
14	38
57	58
38	3
42	2
57	59
40	1
2	27
4	45
29	24
49	2
24	7
7	24
13	7
5	32
51	10
51	8
13	11
7	45
3	23
16	12
3	38
3	45
3	47
3	60
3	43
5	33
18	39
2	40
38	14
2	47
2	43
2	60
2	29
5	27
2	38
5	47
5	61
2	61
37	7
3	40
8	40
7	40
51	2
24	14
19	3
30	3
9	7
8	4
3	10
37	4
37	40
48	3
10	16
2	48
32	4
62	27
63	4
56	2
5	40
42	22
42	7
42	31
5	23
14	10
10	23
13	23
31	7
31	22
31	3
31	23
5	52
8	13
57	26
17	7
7	17
7	6
44	2
11	1
4	21
2	45
6	19
13	54
33	5
5	60
5	29
10	0
61	2
24	10
2	39
7	1
5	39
7	54
7	13
13	17
9	18
18	9
60	4
29	2
61	27
61	4
14	33
20	0
53	2
47	5
38	10
8	18
14	40
51	16
51	12
5	51
24	16
24	12
31	0
52	5
34	0
3	29
17	13
42	5
32	2
26	0
1	11
24	29
2	52
14	12
14	22
22	8
22	10
22	23
22	3
3	12
10	40
12	24
28	16
3	51
14	16
3	27
5	36
42	14
14	4
2	41
42	23
64	65
34	5
42	10
38	30
55	5
2	55
57	46
49	4
34	4
35	3
35	5
14	35
50	0
45	2
60	2
43	2
47	2
10	17
13	4
66	2
43	5
19	5
17	1
17	0
38	21
67	68
57	68
54	13
0	18
8	11
23	18
24	18
31	4
9	5
55	18
69	4
3	31
48	28
48	13
19	7
24	4
10	18
10	21
51	43
24	33
40	11
40	38
40	14
7	27
47	4
33	4
19	1
1	19
1	10
1	36
11	14
1	7
7	36
50	36
11	34
31	5
1	38
10	49
46	70
8	1
18	30
18	1
18	19
49	11
49	45
24	11
36	45
2	53
5	53
70	46
21	10
21	38
21	35
1	34
0	36
31	36
31	10
31	14
1	30
1	14
59	46
68	46
71	46
38	1
1	40
37	0
10	19
10	43
10	29
10	45
1	23
8	45
8	43
8	72
30	0
10	33
60	24
34	26
7	18
24	0
36	26
36	10
36	34
36	14
4	43
10	24
55	4
55	10
15	46
31	1
49	7
4	7
42	52
40	7
53	18
18	53
7	12
8	10
32	5
12	7
18	21
2	42
3	24
51	56
51	11
4	13
24	8
12	1
50	4
4	50
8	6
2	22
8	23
13	20
18	38
18	34
18	36
49	26
5	22
13	45
13	43
42	21
42	0
42	29
42	45
42	19
5	56
56	5
7	48
22	36
22	5
3	22
10	52
4	23
4	14
4	36
4	40
49	8
66	39
14	18
24	40
3	36
14	24
28	24
53	14
36	7
36	23
36	8
10	27
50	27
26	50
47	1
2	51
4	24
5	42
7	42
7	37
4	25
4	38
4	10
14	31
5	44
18	14
8	37
21	14
21	3
33	24
33	3
24	9
1	31
30	5
30	51
19	8
3	53
3	48
3	42
16	53
3	44
16	40
16	10
13	8
13	37
7	49
7	34
32	28
32	51
33	10
1	42
1	51
45	38
65	64
21	51
29	51
5	9
38	44
38	24
38	12
38	18
2	44
29	5
8	49
17	49
24	35
24	42
24	51
58	67
58	57
5	55
46	58
11	3
60	25
0	9
46	57
56	51
56	35
32	10
0	72
18	10
0	41
7	69
7	31
7	55
1	35
1	44
5	66
25	55
42	35
7	9
17	28
2	66
12	38
27	10
63	13
45	3
45	24
19	53
33	53
11	51
61	10
4	37
4	55
47	3
47	10
45	18
45	69
0	8
46	26
62	0
21	24
21	31
21	18
21	42
40	24
10	38
10	53
10	30
10	42
33	44
33	31
3	66
3	9
0	12
52	40
52	31
52	24
52	10
52	7
52	13
52	42
52	14
52	35
0	15
15	7
3	55
5	34
14	53
14	52
2	32
10	66
12	33
12	14
2	69
7	43
22	45
22	42
22	4
0	49
0	31
12	31
0	63
13	9
13	48
13	49
13	34
48	37
48	20
48	7
48	8
48	54
48	9
54	8
48	49
38	8
31	19
31	24
31	45
27	7
27	3
47	55
61	5
61	7
61	3
62	26
62	7
62	57
33	14
11	12
11	66
11	24
11	25
1	12
28	42
28	30
50	26
50	6
10	8
10	44
72	6
72	7
72	8
50	7
50	25
59	57
71	7
13	31
13	25
10	31
10	55
13	26
13	40
10	9
14	42
8	51
34	10
34	36
35	21
35	10
35	1
35	14
35	38
35	24
35	53
35	44
34	24
10	48
50	8
68	67
0	34
55	14
43	10
43	4
62	67
62	13
19	13
19	6
19	10
45	31
45	10
45	7
45	13
45	8
19	52
19	42
72	26
72	13
72	57
46	6
13	6
72	0
72	54
3	33
13	63
17	10
17	24
17	5
23	5
23	52
7	30
5	69
11	40
11	35
0	54
33	12
0	20
1	69
1	8
1	28
1	22
11	13
11	4
33	22
54	49
54	9
54	37
54	20
54	48
4	28
4	8
69	2
10	51
18	55
4	54
4	32
71	67
21	12
45	12
0	55
1	32
32	3
32	14
32	38
59	6
50	31
